|c1|c2|value
23|feature_prev_2_max_mkt|feature_prev_1_max_mkt|1.0
19|feature_prev_1_max_mkt|feature_prev_2_max_mkt|1.0
11|feature_max_mkt|mkt|0.999968769491936
7|mkt|feature_max_mkt|0.999968769491936
22|feature_prev_2_max_mkt|feature_max_mkt|0.99916631613071
17|feature_prev_1_max_mkt|feature_max_mkt|0.99916631613071
14|feature_max_mkt|feature_prev_2_max_mkt|0.99916631613071
13|feature_max_mkt|feature_prev_1_max_mkt|0.99916631613071
9|mkt|feature_prev_2_max_mkt|0.9990579356478899
8|mkt|feature_prev_1_max_mkt|0.9990579356478899
16|feature_prev_1_max_mkt|mkt|0.9990579356478899
21|feature_prev_2_max_mkt|mkt|0.9990579356478899
5|mkt|cash|0.4724942042522722
1|cash|mkt|0.4724942042522722
10|feature_max_mkt|cash|0.47201242574061886
2|cash|feature_max_mkt|0.47201242574061886
15|feature_prev_1_max_mkt|cash|0.09288805653342763
4|cash|feature_prev_2_max_mkt|0.09288805653342763
20|feature_prev_2_max_mkt|cash|0.09288805653342763
3|cash|feature_prev_1_max_mkt|0.09288805653342763
