|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
0|0.0|58656.989906|61410.897559|61410.897559|61410.897559
1|0.0|38563.95|40330.03|40330.03|40330.03
2|0.0|5104.13392|5770.55049|5770.55049|5770.55049
3|0.0|50458.97|50458.97|49802.32|49802.32
4|0.0|226285.9517|235435.07742|235435.07742|235435.07742
5|265.4000000000088|127654.99|133171.77|133171.77|133171.77
6|0.0|42754.73822|42754.73822||
7|0.0|453809.59|453809.59|449861.62|449861.62
8|0.0|35380.03866|35859.66376|35859.66376|35859.66376
9|0.0|20819.03483|20844.82479|20844.82479|20844.82479
10|0.0|617677.955|617677.955|597266.64025|597266.64025
11|0.0|45529.7309|45529.7309|45148.54931|45148.54931
12|0.0|28311.6719|28339.29709|28339.29709|28339.29709
13|0.0|35619.24689|35619.24689||
14|0.0|8810.57|35037.1|40884.06|40884.06
15|0.0|824.85912|824.85912|532.08977|532.08977
16|25.01000000000932|329154.2122|329154.2122|328144.49954|328144.49954
17|0.0|73077.05431|73077.05431|72907.65116|72907.65116
18|0.0|116390.6564|121613.79836|121613.79836|121613.79836
19|0.0|135386.05|135386.05|135205.49|135205.49
20|0.0|11689.52262|11689.52262|9975.28163|9975.28163
21|0.0|1442744.82528|1464508.7607|1464508.7607|1464508.7607
22|0.0|7821.49938|7821.49938|7701.87349|7701.87349
23|0.0|23709.46714|24448.97002|24448.97002|24448.97002
24|0.0|121049.62688|121049.62688|119272.63056|119272.63056
25|0.8599999999860302|215503.28988|215503.28988|212153.41404|212153.41404
26|0.0|241493.11984|241493.11984|236695.9088|236695.9088
27|0.0|47489.7|47489.7|47478.45|47478.45
28|0.0|23426.1704|23426.1704|23051.23908|23051.23908
29|0.0|178364.05|178364.05|178362.54|178362.54
30|0.0|85467.03829|85467.03829|85308.71612|85308.71612
31|0.0|4948.61494|4948.61494|4769.10478|4769.10478
32|0.0|262524.89|262564.91|262564.91|262564.91
33|0.0|88309.00541|88309.00541|87932.86455|87932.86455
34|0.0|61912.2684|62004.26232|62004.26232|62004.26232
35|0.0|58097.48453|58097.48453|57495.6593|57495.6593
36|0.0|43588.56206|43588.56206|42524.78877|42524.78877
37|0.0|22075.21995|22075.21995||
38|0.0|1026929.65889|1049230.95719|1049230.95719|1049230.95719
39|0.0|61352.81904|61352.81904||
40|-2.9103830456733704e-11|243330.03289|243330.03289|242323.92538|242323.92538
41|52.89999999990687|1073517.12878|1110246.52984|1110246.52984|1110246.52984
42|0.0|141057.58754|141057.58754||
43|0.0|2036.3473|2036.3473|1811.88458|1811.88458
44|0.0|184510.31389|184510.31389|182327.06693|182327.06693
45|0.0|877.979664|877.979664|845.414472|845.414472
46|0.0|12856.70214|12856.70214|12725.2047|12725.2047
47|0.0|16876.82179|17122.88852|17122.88852|17122.88852
48|0.0|91234.5907|91234.5907|87880.36917|87880.36917
49|0.0|114218.35003|114218.35003|112897.80686|112897.80686
50|0.0|1410.10688|1410.10688|1361.32461|1361.32461
51|0.0|110318.36883|110318.36883|108238.12447|108238.12447
52|0.0|39841.44583|40682.58596|40682.58596|40682.58596
53|0.0|11986.20428|11986.20428|11952.6453|11952.6453
54|0.0|369651.7717|392762.3443|392762.3443|392762.3443
55|0.0|80841.63|80841.63|80722.42|80722.42
56|0.0|30000.76|30000.76|30000.35|30000.35
57|0.0|66783.15608|66783.15608|64006.97223|64006.97223
58|0.0|35707.63804|36966.19162|36966.19162|36966.19162
59|0.0|181957.06189|183945.38293|183945.38293|183945.38293
60|0.0|10197.44592|10197.44592|9843.15488|9843.15488
61|0.0|72403.03797|72403.03797|70576.42143|70576.42143
62|0.0|2004.95|2004.95|2004.94|2004.94
63|0.0|122832.51|122832.51|119617.37|119617.37
